개선조치ID,미비점ID,통제ID,개선조치내용,담당부서,담당자,목표완료일,실제완료일,진행률,진행상태,검증필요여부,검증결과,비고
A0001,I0001,C0001,시스템 접근권한 재정비,영업관리팀,이대리,2026-08-13,,60,진행중,Y,,
A0002,I0002,C0009,시스템 접근권한 재정비,영업관리팀,최사원,2026-12-14,2026-12-11,100,완료,Y,적정,
A0003,I0003,C0011,시스템 접근권한 재정비,영업관리팀,정팀장,2027-04-15,2027-04-14,100,완료,N,적정,
A0004,I0004,C0016,시스템 접근권한 재정비,영업관리팀,박차장,2026-12-14,2026-12-03,100,완료,N,적정,
A0005,I0005,C0023,시스템 접근권한 재정비,구매팀,김과장,2026-12-14,2026-12-04,100,완료,N,적정,
A0006,I0006,C0031,통제기술서 및 수행절차 보완,구매팀,정팀장,2026-07-14,,50,지연,Y,,
A0007,I0007,C0031,증빙 자동보관 기능 적용,구매팀,이대리,2026-11-14,2026-11-10,100,완료,Y,적정,
A0008,I0008,C0056,시스템 접근권한 재정비,생산팀,김과장,2026-11-14,2026-10-31,100,완료,Y,적정,
A0009,I0009,C0056,통제기술서 및 수행절차 보완,생산팀,최사원,2027-04-15,,70,지연,N,,
A0010,I0010,C0059,승인권자 및 검토 책임 명확화,생산팀,최사원,2026-06-14,2026-06-01,100,완료,Y,적정,
A0011,I0011,C0064,담당자 재교육 및 체크리스트 배포,생산팀,이대리,2027-03-16,,40,진행중,Y,,
A0012,I0012,C0065,시스템 접근권한 재정비,생산팀,정팀장,2026-12-14,2026-12-04,100,완료,Y,적정,
A0013,I0013,C0075,통제기술서 및 수행절차 보완,재무회계팀,정팀장,2026-07-14,2026-07-07,100,완료,Y,적정,
A0014,I0014,C0078,담당자 재교육 및 체크리스트 배포,재무회계팀,박차장,2026-06-14,2026-05-27,100,완료,Y,적정,
A0015,I0015,C0078,증빙 자동보관 기능 적용,재무회계팀,이대리,2026-11-14,,70,지연,Y,,
A0016,I0016,C0083,시스템 접근권한 재정비,재무회계팀,박차장,2026-12-14,2026-12-14,100,완료,Y,적정,
A0017,I0017,C0083,증빙 자동보관 기능 적용,재무회계팀,박차장,2027-03-16,,80,진행중,Y,,
A0018,I0018,C0085,담당자 재교육 및 체크리스트 배포,재무회계팀,박차장,2026-07-14,2026-07-11,100,완료,Y,적정,
A0019,I0019,C0085,통제기술서 및 수행절차 보완,재무회계팀,김과장,2026-11-14,,70,지연,Y,,
A0020,I0020,C0087,승인권자 및 검토 책임 명확화,재무회계팀,박차장,2027-02-14,2027-02-08,100,완료,Y,적정,
A0021,I0021,C0088,통제기술서 및 수행절차 보완,재무회계팀,박차장,2026-07-14,2026-07-12,100,완료,Y,적정,
A0022,I0022,C0092,통제기술서 및 수행절차 보완,재무회계팀,이대리,2026-07-14,2026-06-27,100,완료,Y,적정,
A0023,I0023,C0100,담당자 재교육 및 체크리스트 배포,재무회계팀,이대리,2026-10-15,,50,지연,Y,,
A0024,I0024,C0108,통제기술서 및 수행절차 보완,인사총무팀,정팀장,2026-12-14,2026-12-01,100,완료,N,적정,
A0025,I0025,C0112,승인권자 및 검토 책임 명확화,인사총무팀,김과장,2026-11-14,,60,진행중,Y,,
A0026,I0026,C0113,승인권자 및 검토 책임 명확화,인사총무팀,김과장,2026-12-14,2026-12-09,100,완료,N,적정,
A0027,I0027,C0135,월별 자체점검 절차 추가,재무회계팀,박차장,2027-04-15,2027-04-07,100,완료,Y,적정,
A0028,I0028,C0141,통제기술서 및 수행절차 보완,IT팀,김과장,2026-11-14,2026-10-30,100,완료,Y,적정,
A0029,I0029,C0145,증빙 자동보관 기능 적용,IT팀,최사원,2026-08-13,,40,진행중,N,,
A0030,I0030,C0146,담당자 재교육 및 체크리스트 배포,IT팀,박차장,2026-12-14,,60,진행중,N,,
A0031,I0031,C0148,승인권자 및 검토 책임 명확화,IT팀,김과장,2026-07-14,2026-07-14,100,완료,Y,적정,
A0032,I0032,C0158,승인권자 및 검토 책임 명확화,IT팀,이대리,2026-12-14,2026-11-27,100,완료,N,적정,
A0033,I0033,C0160,승인권자 및 검토 책임 명확화,재무회계팀,최사원,2026-08-13,2026-08-05,100,완료,Y,적정,
A0034,I0034,C0160,통제기술서 및 수행절차 보완,재무회계팀,정팀장,2026-12-14,,60,진행중,N,,
A0035,I0035,C0168,월별 자체점검 절차 추가,재무회계팀,정팀장,2026-12-14,2026-11-25,100,완료,N,추가보완,
A0036,I0036,C0019,월별 자체점검 절차 추가,구매팀,김과장,2026-04-30,2026-04-26,100,완료,N,적정,
A0037,I0037,C0029,월별 자체점검 절차 추가,구매팀,김과장,2026-04-30,,80,진행중,Y,,
A0038,I0038,C0053,증빙 자동보관 기능 적용,SCM팀,김과장,2026-04-30,2026-04-18,100,완료,N,적정,
A0039,I0039,C0071,시스템 접근권한 재정비,재무회계팀,최사원,2026-04-30,2026-04-29,100,완료,N,적정,
A0040,I0040,C0141,통제기술서 및 수행절차 보완,IT팀,이대리,2026-04-30,2026-04-18,100,완료,N,적정,
A0041,I0041,C0148,담당자 재교육 및 체크리스트 배포,IT팀,박차장,2026-04-30,2026-04-16,100,완료,Y,적정,
